Name,Latitude,Longitude,Polygon Number
Ristorante - Pizzeria L'Oster Bif & Beef,45.6967,9.5337,N/A
Pizzeria Don Matteo in Villa Bellati,45.8555,12.0173,N/A
H24 - Pizzeria ristorante bar,45.6387,13.7629,N/A
Furci Bakery,45.536,9.2252,N/A
SAN ROCCO,45.0148,11.3332,N/A
Instabile Venezia,45.563,12.1253,N/A
Bocon Divino,44.4273,11.9505,N/A
Mizuumi Sushi Lavena Ponte Tresa,45.9666,8.8588,N/A
Caffè Longobardo,46.0946,13.4304,N/A
Ostu Pizzeria - Bottega - Enoteca,44.9203,7.8475,N/A
Focacceria Revello,44.3505,9.1526,N/A
Ristorante da Genio,46.0386,12.4965,N/A
L'Inizio Pizzeria,45.137,7.7688,N/A
Ristorante Pizzeria Bella Capri,45.7674,11.7378,N/A
Ristorante Gardenia,45.3034,7.8902,N/A
Il Graffio,44.628,11.1979,N/A
Piadina Ciliegina,44.7388,12.2418,N/A
Pizzeria Ristorante Pan e Vin,45.7675,11.4559,N/A
Pan Pan,45.7339,8.5741,N/A
Eliapizza Trattoria Al Cacciatore,45.2454,12.0237,N/A
Restaurant Atmosphera,45.6885,13.141,N/A
Ristorante Pizzeria Italia da Nikolas,45.7639,10.8068,N/A
Ristorante Pizzeria Regina Major,45.3549,10.1268,N/A
Pizzeria Napoli Di De Rosa Annalisa,44.6335,8.6371,N/A
ZERO 11,45.1345,7.7616,N/A
Al Tiglio cucina naturale / Ristorante Veg,46.1196,13.1228,N/A
Remember,45.7063,11.5628,N/A
Pizzeria La Luna Pizzeria e Bar,45.5034,12.2648,N/A
Al Fogher Ristorante Pizzeria,45.3985,12.0823,N/A
La Stiva,45.8719,12.0801,N/A
Pizzeria Ristorante La Tirolese,46.4249,11.9393,N/A
Pizzeria Ristorante Don Felipe,45.3016,9.7674,N/A
Panineria La Farcia Alessandria,44.9101,8.6123,N/A
Antica Gelateria Guarino Snc,44.4132,8.9334,3
La Barchetta,44.834,10.1794,N/A
"Pizzeria ""da Giannino""",46.5044,13.5881,N/A
Pizzeria di Porta Garibaldi - MILANO,45.4815,9.1874,1
